1376,Goumoëns,Pierre-Alain PELLEGRI,Centre
1377,Oulens-sous-Echallens,Pierre-Alain PELLEGRI,Centre
1416,Pailly,Pierre-Alain PELLEGRI,Centre
1001,Lausanne,Marie-France BARBAY,Lausanne
1002,Lausanne,Marie-France BARBAY,Lausanne
1003,Lausanne,Marie-France BARBAY,Lausanne
1004,Lausanne,Marie-France BARBAY,Lausanne
1005,Lausanne,Marie-France BARBAY,Lausanne
1006,Lausanne,Marie-France BARBAY,Lausanne
1010,Lausanne,Marie-France BARBAY,Lausanne
1011,Lausanne,Marie-France BARBAY,Lausanne
1012,Lausanne,Marie-France BARBAY,Lausanne
1014,Lausanne,Marie-France BARBAY,Lausanne
1015,Lausanne,Marie-France BARBAY,Lausanne
1018,Lausanne,Marie-France BARBAY,Lausanne
1007,Lausanne,Emilia OLIVEIRA,Ouest lausannois
1008,Jouxtens-Mézery,Emilia OLIVEIRA,Ouest lausannois
1418,Vuarrens,Pierre-Alain PELLEGRI,Centre
1509,Vucherens,Pierre-Alain PELLEGRI,Centre
1078,Essertes,Antonio DA FONTE,Lavaux et Moudon
1081,Montpreveyres,Antonio DA FONTE,Lavaux et Moudon
1083,Mézières,Antonio DA FONTE,Lavaux et Moudon
1084,Carrouge,Antonio DA FONTE,Lavaux et Moudon
1085,Vulliens,Antonio DA FONTE,Lavaux et Moudon
1092,Belmont-sur-Lausanne,Antonio DA FONTE,Lavaux et Moudon
1094,Paudex,Antonio DA FONTE,Lavaux et Moudon
1095,Lutry,Antonio DA FONTE,Lavaux et Moudon
1096,Bourg-en-Lavaux,Antonio DA FONTE,Lavaux et Moudon
1510,Moudon,Antonio DA FONTE,Lavaux et Moudon
1510,Syens,Antonio DA FONTE,Lavaux et Moudon
1512,Chavannes-sur-Moudon,Antonio DA FONTE,Lavaux et Moudon
1514,Bussy-sur-Moudon,Antonio DA FONTE,Lavaux et Moudon
1610,Oron,Antonio DA FONTE,Lavaux et Moudon
1613,Maracon,Antonio DA FONTE,Lavaux et Moudon
1683,Sarzens,Antonio DA FONTE,Lavaux et Moudon
1683,Brenles,Antonio DA FONTE,Lavaux et Moudon
1683,Chesalles-sur-Moudon,Antonio DA FONTE,Lavaux et Moudon
1112,Echichens,Michel PASCHE,Morges et Vallée de Joux
1115,Vullierens,Michel PASCHE,Morges et Vallée de Joux
1116,Cottens,Michel PASCHE,Morges et Vallée de Joux
1117,Grancy,Michel PASCHE,Morges et Vallée de Joux
1121,Bremblens,Michel PASCHE,Morges et Vallée de Joux
1122,Romanel-sur-Morges,Michel PASCHE,Morges et Vallée de Joux
1123,Aclens,Michel PASCHE,Morges et Vallée de Joux
1124,Gollion,Michel PASCHE,Morges et Vallée de Joux
1126,Vaux-sur-Morges,Michel PASCHE,Morges et Vallée de Joux
1127,Clarmont,Michel PASCHE,Morges et Vallée de Joux
1128,Reverolle,Michel PASCHE,Morges et Vallée de Joux
1131,Tolochenaz,Michel PASCHE,Morges et Vallée de Joux
1132,Lully,Michel PASCHE,Morges et Vallée de Joux
1134,Chigny,Michel PASCHE,Morges et Vallée de Joux
1134,Vufflens-le-Château,Michel PASCHE,Morges et Vallée de Joux
1135,Denens,Michel PASCHE,Morges et Vallée de Joux
1136,Bussy-Chardonney,Michel PASCHE,Morges et Vallée de Joux
1141,Sévery,Michel PASCHE,Morges et Vallée de Joux
1142,Pampigny,Michel PASCHE,Morges et Vallée de Joux
1143,Apples,Michel PASCHE,Morges et Vallée de Joux
1144,Ballens,Michel PASCHE,Morges et Vallée de Joux
1145,Bière,Michel PASCHE,Morges et Vallée de Joux
1146,Mollens,Michel PASCHE,Morges et Vallée de Joux
1147,Montricher,Michel PASCHE,Morges et Vallée de Joux
1148,La Praz,Michel PASCHE,Morges et Vallée de Joux
1148,Chavannes-le-Veyron,Michel PASCHE,Morges et Vallée de Joux
1148,Cuarnens,Michel PASCHE,Morges et Vallée de Joux
1148,L'Isle,Michel PASCHE,Morges et Vallée de Joux
1148,Mauraz,Michel PASCHE,Morges et Vallée de Joux
1148,Moiry,Michel PASCHE,Morges et Vallée de Joux
1148,Mont-la-Ville,Michel PASCHE,Morges et Vallée de Joux
1149,Berolle,Michel PASCHE,Morges et Vallée de Joux
1162,Saint-Prex,Michel PASCHE,Morges et Vallée de Joux
1163,Etoy,Michel PASCHE,Morges et Vallée de Joux
1164,Buchillon,Michel PASCHE,Morges et Vallée de Joux
1165,Allaman,Michel PASCHE,Morges et Vallée de Joux
1166,Perroy,Michel PASCHE,Morges et Vallée de Joux
1167,Lussy-sur-Morges,Michel PASCHE,Morges et Vallée de Joux
1168,Villars-sous-Yens,Michel PASCHE,Morges et Vallée de Joux
1169,Yens,Michel PASCHE,Morges et Vallée de Joux
1170,Aubonne,Michel PASCHE,Morges et Vallée de Joux
1172,Bougy-Villars,Michel PASCHE,Morges et Vallée de Joux
1173,Féchy,Michel PASCHE,Morges et Vallée de Joux
1174,Montherod,Michel PASCHE,Morges et Vallée de Joux
1175,Lavigny,Michel PASCHE,Morges et Vallée de Joux
1176,Saint-Livres,Michel PASCHE,Morges et Vallée de Joux
1180,Rolle,Michel PASCHE,Morges et Vallée de Joux
1180,Tartegnin,Michel PASCHE,Morges et Vallée de Joux
1182,Gilly,Michel PASCHE,Morges et Vallée de Joux
1185,Mont-sur-Rolle,Michel PASCHE,Morges et Vallée de Joux
1186,Essertines-sur-Rolle,Michel PASCHE,Morges et Vallée de Joux
1187,Saint-Oyens,Michel PASCHE,Morges et Vallée de Joux
1188,Gimel,Michel PASCHE,Morges et Vallée de Joux
1188,Saint-George,Michel PASCHE,Morges et Vallée de Joux
1189,Saubraz,Michel PASCHE,Morges et Vallée de Joux
1304,Cossonay,Michel PASCHE,Morges et Vallée de Joux
1304,Dizy,Michel PASCHE,Morges et Vallée de Joux
1304,Senarclens,Michel PASCHE,Morges et Vallée de Joux
1306,Daillens,Michel PASCHE,Morges et Vallée de Joux
1308,La Chaux (Cossonay),Michel PASCHE,Morges et Vallée de Joux
1312,Eclépens,Michel PASCHE,Morges et Vallée de Joux
1313,Ferreyres,Michel PASCHE,Morges et Vallée de Joux
1183,Bursins,Milko MANTERO,Nyon
1184,Luins,Milko MANTERO,Nyon
1184,Vinzel,Milko MANTERO,Nyon
1195,Bursinel,Milko MANTERO,Nyon
1195,Dully,Milko MANTERO,Nyon
1196,Gland,Milko MANTERO,Nyon
1197,Prangins,Milko MANTERO,Nyon
1260,Nyon,Milko MANTERO,Nyon
1261,Longirod,Milko MANTERO,Nyon
1261,Marchissy,Milko MANTERO,Nyon
1261,Le Vaud,Milko MANTERO,Nyon
1262,Eysins,Milko MANTERO,Nyon
1263,Crassier,Milko MANTERO,Nyon
1264,Saint-Cergue,Milko MANTERO,Nyon
1266,Duillier,Milko MANTERO,Nyon
1267,Coinsins,Milko MANTERO,Nyon
1267,Vich,Milko MANTERO,Nyon
1268,Begnins,Milko MANTERO,Nyon
1268,Burtigny,Milko MANTERO,Nyon
1315,La Sarraz,Michel PASCHE,Morges et Vallée de Joux
1269,Bassins,Milko MANTERO,Nyon
1270,Trélex,Milko MANTERO,Nyon
1271,Givrins,Milko MANTERO,Nyon
1316,Chevilly,Michel PASCHE,Morges et Vallée de Joux
1272,Genolier,Milko MANTERO,Nyon
1273,Arzier-Le Muids,Milko MANTERO,Nyon
1274,Grens,Milko MANTERO,Nyon
1274,Signy-Avenex,Milko MANTERO,Nyon
1275,Chéserex,Milko MANTERO,Nyon
1276,Gingins,Milko MANTERO,Nyon
1277,Arnex-sur-Nyon,Milko MANTERO,Nyon
1277,Borex,Milko MANTERO,Nyon
1317,Orny,Michel PASCHE,Morges et Vallée de Joux
1278,La Rippe,Milko MANTERO,Nyon
1318,Pompaples,Michel PASCHE,Morges et Vallée de Joux
1279,Bogis-Bossey,Milko MANTERO,Nyon
1279,Chavannes-de-Bogis,Milko MANTERO,Nyon
1344,L'Abbaye,Michel PASCHE,Morges et Vallée de Joux
1290,Chavannes-des-Bois,Milko MANTERO,Nyon
1345,Le Lieu,Michel PASCHE,Morges et Vallée de Joux
1291,Commugny,Milko MANTERO,Nyon
1295,Mies,Milko MANTERO,Nyon
1347,Le Chenit,Michel PASCHE,Morges et Vallée de Joux
1295,Tannay,Milko MANTERO,Nyon
1296,Coppet,Milko MANTERO,Nyon
1297,Founex,Milko MANTERO,Nyon
1299,Crans-près-Céligny,Milko MANTERO,Nyon
1008,Prilly,Emilia OLIVEIRA,Ouest lausannois
1020,Renens,Emilia OLIVEIRA,Ouest lausannois
1513,Hermenches,Pierre-Alain PELLEGRI,Centre
1022,Chavannes-près-Renens,Emilia OLIVEIRA,Ouest lausannois
1024,Ecublens,Emilia OLIVEIRA,Ouest lausannois
1025,St-Sulpice,Emilia OLIVEIRA,Ouest lausannois
1030,Bussigny,Emilia OLIVEIRA,Ouest lausannois
1513,Rossenges,Pierre-Alain PELLEGRI,Centre
